Headers,Tool Name,Href,Description,RANK,Domain,Logo
AI Account Research,Draup,,AI-Powered Platform for Talent & B2B Sales Leaders,,draup.com,./images/draup.com.png
AI Account Research,Plena,,AI Robots for Sales Automation,,plena.io,./images/plena.io.png
AI Account Research,Cuetap,,Tap AI & CI Powered Sales Â Battlecards,,cuetap.com,./images/cuetap.com.png
AI Account Research,Salesmotion,,Win more. Engage buyers better. Automate account research.,,salesmotion.io,./images/salesmotion.io.png
AI Account Research,Avidestal,,SaaS Brand for Consumer Insights,,avidestal.com,./images/avidestal.com.png
AI Account Research,AI bees,,B2B Marketing Powered by AI,,ai-bees.io,./images/ai-bees.io.png
AI Account Research,BuzzBoard,,AI Digital Sales Assistant,,buzzboard.ai,./images/buzzboard.ai.png
AI Account Research,Factors,,"Account Intelligence, Analytics & Attribution",,factors.ai,./images/factors.ai.png
AI Data Enrichment,Clay,,Prospect Differently,1,clay.com,./images/clay.com.png
AI Data Enrichment,Unify,,Generate More Pipeline with Warm Outbound,2,unifygtm.com,./images/unifygtm.com.png
AI Data Enrichment,FullEnrich,,B2B Email & Phone Waterfall Enrichment,3,fullenrich.com,./images/fullenrich.com.png
AI Data Enrichment,lemlist,,The only cold outreach tool that helps you reach inboxes and get replies,,lemlist.com,./images/lemlist.com.png
AI Data Enrichment,Ocean,,"B2B Prospecting Data, ABM Targeting,Vertical Sales",,ocean.io,./images/ocean.io.png
AI Data Enrichment,Apollo,,Sales Intelligence andEngagement Platform,,apollo.io,./images/apollo.io.png
AI Data Enrichment,Persana,,Superchange your Prospecting with AI,,persana.ai,./images/persana.ai.png
AI Data Enrichment,BetterContact,,the best email finder,,bettercontact.rocks,./images/bettercontact.rocks.png
AI Data Enrichment,PhantomBuster,,A new era of lead generation,,phantombuster.com,./images/phantombuster.com.png
AI Data Enrichment,Seamless,,Sales Prospecting Software,,seamless.ai,./images/seamless.ai.png
AI Data Enrichment,Pipl,,Master Cold Outreach with Smart Email Automation,,pipl.com,./images/pipl.com.png
AI Data Enrichment,Rows,,The spreadsheet where teams work faster,,rows.com,./images/rows.com.png
AI Data Enrichment,Mattermark,,"Discover, Enrich, & Analyze Companies",,mattermark.com,./images/mattermark.com.png
AI Data Enrichment,People Data Labs,,The Single Source of Truth for People Data,,peopledatalabs.com,./images/peopledatalabs.com.png
AI Data Enrichment,Tactic,,GTMÂ Data Automation Platform,,tactic.fyi,./images/tactic.fyi.png
AI Data Enrichment,PrimeRole,,AI-Driven Sales Insights for Precision Sales,,primerole.com,./images/primerole.com.png
AI Data Enrichment,Scalelist,,LinkedIn Sales Navigator Extractor,,scalelist.com,./images/scalelist.com.png
AI Data Enrichment,Bizzy,,"Search by person, company nameor VAT number",,bizzy.org,./images/bizzy.org.png
AI Data Enrichment,Harmonic,,Discover Startups,,harmonic.ai,./images/harmonic.ai.png
AI Data Enrichment,Cargo,,Revenue orchestration platformon top of your Data warehouse,,getcargo.io,./images/getcargo.io.png
AI Data Enrichment,Namora,,GPT4 Powered Assistant For Sales Teams,,namora.ai,./images/namora.ai.png
AI Data Enrichment,Databar,,Hundreds of data providersunder one roof,,databar.ai,./images/databar.ai.png
AI Data Enrichment,Crono,,"Smarter actions,more pipeline",,crono.one,./images/crono.one.png
AI Data Enrichment,Intellizence,,AI Powered CompanyIntelligence Platform,,intellizence.com,./images/intellizence.com.png
AI Data Enrichment,AroundDeal,,"Global B2B Database, Sales & Marketing Intelligence Platform",,arounddeal.com,./images/arounddeal.com.png
AI Data Enrichment,Zoovu,,Product Search & Discovery Powered By AI,,zoovu.com,./images/zoovu.com.png
AI Data Enrichment,Genesy,,Unlock your B2B Sales potential with AI,,genesy.ai,./images/genesy.ai.png
AI Data Enrichment,Upbound.ai,,Automate research & personalized emails in minutes using AI,,Upbound.ai,./images/Upbound.ai.png
AI Data Enrichment,UNSCRAMBL,,Conversational Analytics & Business Intelligence,,unscrambl.com,./images/unscrambl.com.png
AI Data Enrichment,Default,,Automate Workflows with Default,,default.com,./images/default.com.png
AI Data Enrichment,Tarci,,SMB data that makes businesses thrive,,tarci.io,./images/tarci.io.png
AI Data Enrichment,Botminds,,Capture and Automate Document & Web data,,botminds.ai,./images/botminds.ai.png
AI Data Enrichment,Clodura,,AI Powered Lead Generation Platform,,clodura.ai,./images/clodura.ai.png
AI Data Enrichment,IntentMacro,,Empower your Sales & Marketing Team with the World's First B2B Multilayered Intent,,intentmacro.com,./images/intentmacro.com.png
AI Data Enrichment,SetSail,,Sales Activity Tracking,,setsail.co,./images/setsail.co.png
AI Data Enrichment,Crystal,,The Personality Data Platform,,crystalknows.com,./images/crystalknows.com.png
AI Data Enrichment,Toplyne,,AI Workspace for Marketing Automations,,toplyne.io,./images/toplyne.io.png
AI Data Enrichment,Amplemarket,,AI that sells while you sleep,,amplemarket.com,./images/amplemarket.com.png
AI Data Enrichment,Cerebria Tech,,One Solution for Finding Leads & Smashing Targets,,hellodexter.com,./images/hellodexter.com.png
AI Data Enrichment,Advisr,,"A complete sales platform, engineered for growth",,advisr.com,./images/advisr.com.png
AI Data Enrichment,Freshworks,,Streamlined Solutions,,freshworks.com,./images/freshworks.com.png
AI Email Outreach,Instantly,,Cold Email Software,1,instantly.ai,./images/instantly.ai.png
AI Email Outreach,lemlist,,The only cold outreach tool that helps you reach inboxes and get replies,2,lemlist.com,./images/lemlist.com.png
AI Email Outreach,Unify,,Generate More Pipeline with Warm Outbound,3,unifygtm.com,./images/unifygtm.com.png
AI Email Outreach,Smartlead,,Unlimited Cold Emails & AI warm-ups.,,smartlead.ai,./images/smartlead.ai.png
AI Email Outreach,Amplemarket,,Next generation sales intelligence,,amplemarket.com,./images/amplemarket.com.png
AI Email Outreach,Luna,,"Find Perfect Leads, SendMind-Blowing Emails",,getluna.dev,./images/getluna.dev.png
AI Email Outreach,Expandi,,#1 LinkedIn Automation Tool,,expandi.io,./images/expandi.io.png
AI Email Outreach,LaGrowthMachine,,Multichannel Sales Automationmade easy!,,lagrowthmachine.com,./images/lagrowthmachine.com.png
AI Email Outreach,Woodpecker,,"Tools for Cold Email, Sales & Agency Outreach",,woodpecker.co,./images/woodpecker.co.png
AI Email Outreach,Apollo,,Sales Intelligence and Engagement Platform,,apollo.io,./images/apollo.io.png
AI Email Outreach,Super Send,,"Automate outbound cold outreachacross LinkedIn, Twitter, and Email",,supersend.io,./images/supersend.io.png
AI Email Outreach,Reply,,Sales automation &Sales engagement Platform,,reply.io,./images/reply.io.png
AI Email Outreach,Outplay,,Sales Engagement & Sales Automation Platform,,outplayhq.com,./images/outplayhq.com.png
AI Email Outreach,Meetz,,Meetz your new AI Sales Lead Generator,,meetz.ai,./images/meetz.ai.png
AI Email Outreach,Pipl,,Master Cold Outreach with Smart Email Automation,,pipl.com,./images/pipl.com.png
AI Email Outreach,Tubular,,Sales Pipeline Management and CRM tool for collaborative sales teams,,tubular.io,./images/tubular.io.png
AI Email Outreach,Overloop.ai,,AI-powered Sales Automation Platform,,Overloop.ai,./images/Overloop.ai.png
AI Email Outreach,Growbots,,Outbound Sales Software: Meet Your Next Client with Growbots,,growbots.com,./images/growbots.com.png
AI Email Outreach,First Sales,,Never let your sales pipeline run dry,,firstsales.io,./images/firstsales.io.png
AI Email Outreach,Zopto,,LinkedIn Automation & Omni-channel Sales Platform,,zopto.com,./images/zopto.com.png
AI Email Outreach,Buzz,,B2B Sales Engagement,,buzz.ai,./images/buzz.ai.png
AI Email Outreach,Saile,,AI-Powered Sales Prospecting Tool,,sailes.com,./images/sailes.com.png
AI Email Outreach,Crono,,"Smarter actions,more pipeline",,crono.one,./images/crono.one.png
AI Email Outreach,Salesforge,,10x Pipeline | Cold Email Software,,salesforge.ai,./images/salesforge.ai.png
AI Email Outreach,Sales Compass,,Personalise Sales Emails UsingSales Compass With LinkedIn,,salescompass.ai,./images/salescompass.ai.png
AI Email Outreach,PipeGen.ai,,Multi-Touch Sales Platform,,pipegen.ai,./images/pipegen.ai.png
AI Email Outreach,Revenue Grid,,Revenue Intelligence Software,,revenuegrid.com,./images/revenuegrid.com.png
AI Email Outreach,Scout,,Best All-In-One Sales Prospecting Platform,,tryscout.ai,./images/tryscout.ai.png
AI Email Outreach,Merlin AI,,"All-in-One AI extension to Write, Summarize, Code & Play",,getmerlin.in,./images/getmerlin.in.png
AI Email Outreach,InfoGlobalData,,Email List and Top B2B Email List Provider,,infoglobaldata.com,./images/infoglobaldata.com.png
AI Email Outreach,Clodura,,AI Powered Lead Generation Platform,,clodura.ai,./images/clodura.ai.png
AI Email Outreach,Tact,,Revolutionize Life Sciences Customer Engagement with T's Next-Generation Solution,,tact.ai,./images/tact.ai.png
AI Email Outreach,FunnL,,B2B Sales Qualified Meeting,,funnl.ai,./images/funnl.ai.png
AI Email Outreach,Leadgenerator.io,,B2B Lead Generation Platform,,leadgenerator.io,./images/leadgenerator.io.png
AI Email Outreach,7Targets,,AI Email Assistant that will save you hours of work each week,,7targets.ai,./images/7targets.ai.png
AI Email Outreach,Ubico,,Sales Engagement and Marketing Automation,,ubico.io,./images/ubico.io.png
AI Email Outreach,Sales Stack,,AI Personalised Writing that turns Conversations into Revenue,,salesstack.ai,./images/salesstack.ai.png
AI Email Outreach,Genesy,,Unlock your B2B Sales potential with AI,,genesy.ai,./images/genesy.ai.png
AI Email Outreach,Aktify,,Convert 3x More Leads to Revenue,,aktify.com,./images/aktify.com.png
AI Email Outreach,Upbound.ai,,Automate research & personalized emails in minutes using AI,,Upbound.ai,./images/Upbound.ai.png
AI Email Outreach,Artisan,,We Create Advanced Digital Workers,,artisan.co,./images/artisan.co.png
AI Email Outreach,Cerebria Tech,,One Solution for Finding Leads & Smashing Targets,,hellodexter.com,./images/hellodexter.com.png
AI Email Outreach,Sweego,,Notifications and transactional emails sending platform,,sweego.io,./images/sweego.io.png
AI Email Outreach,MailerLite,,Create Email Marketing Your Audience Will Love,,mailerlite.com,./images/mailerlite.com.png
AI Email Outreach,Show,,An AI-Powered Email Marketing Tool,,getshow.io,./images/getshow.io.png
AI Email Outreach,Alore,,Your Outbound Sales Tech Stack,,alore.io,./images/alore.io.png
AI Email Outreach,Ringy,,Your Complete CRM Solution,,ringy.com,./images/ringy.com.png
AI Email Outreach,Revotas,,Customer Experience Platform,,revotas.com,./images/revotas.com.png
AI Email Outreach,Meet Alfred,,LinkedIn Automation Tool for Lead Generation,,meetalfred.com,./images/meetalfred.com.png
AI Email Outreach,Lavender,,Your Magical AI Email Coach,,lavender.ai,./images/lavender.ai.png
AI Email Outreach,WooSender,,Convert More Leads Into Sales,,woosender.com,./images/woosender.com.png
AI Email Outreach,Superhuman,,Blazingly fast email for teams and individuals,,superhuman.com,./images/superhuman.com.png
AI Email Outreach,Success,,"Infinite Leads, Emails, Warmup & Advanced AI Writing",,Success.ai,./images/Success.ai.png
AI Sales Workflow,Unify,,Generate More Pipeline with Warm Outbound,1,unifygtm.com,./images/unifygtm.com.png
AI Sales Workflow,Common Room,,Customer Intelligence Platform | Run GTM Intelligently,2,commonroom.io,./images/commonroom.io.png
AI Sales Workflow,Clay,,Scale personalized outbound,34,clay.com,./images/clay.com.png
AI Sales Workflow,Artisan,,Boost Your Outbound Sales with an AI BDR,,artisan.co,./images/artisan.co.png
AI Sales Workflow,Cargo,,Build AI workflows that drive revenue,,getcargo.io,./images/getcargo.io.png
AI Sales Workflow,Persana,,Superchange your Prospecting with AI,,persana.ai,./images/persana.ai.png
AI Sales Workflow,Bardeen,,Workflow Task Automation Software,,bardeen.ai,./images/bardeen.ai.png
AI Sales Workflow,Zapier,,Automate your work today,,zapier.com,./images/zapier.com.png
AI Sales Workflow,Make,,Automation Software | Connect Apps & Design Workflows,,make.com,./images/make.com.png
AI Sales Workflow,Overloop.ai,,AI-powered Sales Automation Platform,,Overloop.ai,./images/Overloop.ai.png
AI Sales Workflow,Default,,Automate Workflows with Default,,default.com,./images/default.com.png
AI Sales Workflow,Tiga,,Hire Tiga Sales AI to Prospect for You,,tiga.ai,./images/tiga.ai.png
AI Sales Workflow,Tether Data,,One platform for your entire revenue cycle.,,tetherdata.io,./images/tetherdata.io.png
AI Sales Workflow,Capsule CRM,,CRM Made Simple,,capsulecrm.com,./images/capsulecrm.com.png
AI Sales Workflow,Bitscale AI,,Personalized outbound at scale,,bitscale.ai,./images/bitscale.ai.png
AI Video Prospecting,Sendspark,,Record and Share Personalized Videos,1,sendspark.com,./images/sendspark.com.png
AI Video Prospecting,Ubique,,Hyper-personalized videos generated automatically,2,ubique.live,./images/ubique.live.png
AI Video Prospecting,BHuman,,AI Personalized Videos at Scale,3,bhuman.ai,./images/bhuman.ai.png
AI Video Prospecting,HippoVideo,,Video Customer Experience Platform,,hippovideo.io,./images/hippovideo.io.png
AI Video Prospecting,Vidnoz,,Create FREE Engaging AI Videos 10X Faster,,vidnoz.com,./images/vidnoz.com.png
AI Video Prospecting,Yepic,,"Create, Dub and Personalise Videos Anywhere.",,yepic.ai,./images/yepic.ai.png
AI Video Prospecting,Windsor,,Personalized AI Videos to Boost Email and SMS,,windsor.io,./images/windsor.io.png
AI Video Prospecting,Colossyan,,Create AI videos from text in minutes andauto-translate to dozens of languages with the click of a button.,,colossyan.com,./images/colossyan.com.png
AI Video Prospecting,RepliQ,,Personalized Outreach Videos through a spreadsheet,,repliq.co,./images/repliq.co.png
AI Video Prospecting,Synthesia,,#1 AI Video Generator,,synthesia.io,./images/synthesia.io.png
AI Video Prospecting,Descript,,"All-in-one video & podcast editing, easy as a doc",,descript.com,./images/descript.com.png
AI Video Prospecting,Potion,,Video email for sales professionals,,sendpotion.com,./images/sendpotion.com.png
AI Video Prospecting,Reachout,,Video Prospecting Powered by AI,,reachout.ai,./images/reachout.ai.png
AI Video Prospecting,Tavus,,AI Video Personalization Platform,,tavus.io,./images/tavus.io.png
AI Video Prospecting,Gan,,Personalized videos at scale,,gan.ai,./images/gan.ai.png
AI Video Prospecting,Pipio,,AI Videos in Minutes,,mypipio.com,./images/mypipio.com.png
AI Video Prospecting,Vidyard,,Video Tools for Virtual Sales and Marketing Teams,,vidyard.com,./images/vidyard.com.png
AI Video Prospecting,Vidu,,Personalized videos that show your product's value,,vidu.io,./images/vidu.io.png
AI Video Prospecting,Weezly,,Schedule & Record Video Messages Seamlessly,,weezly.com,./images/weezly.com.png
AI Video Prospecting,Nexweave,,"Personalized Images, GIFS, & Interactive Videos Â for your Sales & Marketing Funnels",,nexweave.com,./images/nexweave.com.png
AI Video Prospecting,Pageport,,Make a unique website for every lead,,Pageport.com,./images/Pageport.com.png
AI Video Prospecting,Telesqope,,Book 10x more meetings with video merges,,telesqope.ai,./images/telesqope.ai.png
AI Video Prospecting,Hour One,,AI Video Generator: From Text to Video in Minutes,,hourone.ai,./images/hourone.ai.png
AI Video Prospecting,Viewed,,Leading video email marketing services,,viewed.video,./images/viewed.video.png
AI Video Prospecting,VideoRemix,,LinkedIn 360 Mastery - 13 highly specialized tools,,videoremix.io,./images/videoremix.io.png
AI Video Prospecting,Blings,,Video Software Company For Personalized Videos,,blings.io,./images/blings.io.png
AI Video Prospecting,Vidon.ai,,AI Video Generator,,vidon.ai,./images/vidon.ai.png
AI Video Prospecting,Rephrase,,Convert Text into Engaging AI Videos in Minutes,,rephrase.ai,./images/rephrase.ai.png
AI Video Prospecting,Milk Video,,"Capture, clip and ship video content instantly",,milkvideo.com,./images/milkvideo.com.png
AI Video Prospecting,Maestra,,"Transcription, Subtitling & Voiceover",,maestra.ai,./images/maestra.ai.png
AI Video Prospecting,Copilot,,Make outbound as simple as inbound,,copilotai.com,./images/copilotai.com.png
AI Video Prospecting,Goldcast,,"The AI-first Video Campaign Platform for B2B Videos, Webinars, and Events",,goldcast.io,./images/goldcast.io.png
AI Video Prospecting,Sendler AI,,Email that actually converts,,sendler.ai,./images/sendler.ai.png
AI Video Prospecting,Idomoo,,Personalized Video and Solutions,,idomoo.com,./images/idomoo.com.png
AI Video Prospecting,Dubb,,Video Sales System,,dubb.com,./images/dubb.com.png
AI Video Prospecting,Bonjoro,,Video Engagement Platform,,bonjoro.com,./images/bonjoro.com.png
AI Video Prospecting,BombBomb,,Video Messaging & Screen Recording Platform,,bombbomb.com,./images/bombbomb.com.png
AI Video Prospecting,Wistia,,The Video Marketing Platform for Businesses,,wistia.com,./images/wistia.com.png
AI Video Prospecting,Show,,An AI-Powered Email Marketing Tool,,getshow.io,./images/getshow.io.png
AI Video Prospecting,RoundView,,Conversational marketing & Support Platform,,roundview.ai,./images/roundview.ai.png
AI Video Prospecting,Nesti,,Personalized AI Videos for Sales Teams,,nesti.io,./images/nesti.io.png
AI Video Prospecting,Pitch Avatar,,Convert content into leads and deals,,pitchavatar.com,./images/pitchavatar.com.png
AI Advertising,Hyros,,TRACK ADS. FEED AI,1,hyros.com,./images/hyros.com.png
AI Advertising,AdCreative,,AI-Powered Docs & EmailData Extraction Tool,2,adcreative.ai,./images/adcreative.ai.png
AI Advertising,Hoppy Copy,,AI Email MarketingCopywriting Platform,3,hoppycopy.co,./images/hoppycopy.co.png
AI Advertising,Metadata,,The First Marketing OSÂ for B2B,,metadata.io,./images/metadata.io.png
AI Advertising,Plai,,Better Digital Marketing Is Just A Few Taps Away,,plai.io,./images/plai.io.png
AI Advertising,Balloonary,,Build ads that take off,,balloonary.com,./images/balloonary.com.png
AI Advertising,Madgicx,,The Ecom Ad Cloud: WayBeyond FB Ad Optimization,,madgicx.com,./images/madgicx.com.png
AI Advertising,Sortext,,Boost Sales with AI: Turn First-Time Visitorsinto Customers With AI-Driven Deals,,sortext.com,./images/sortext.com.png
AI Advertising,Tomi,,Automate without limits,,tomi.ai,./images/tomi.ai.png
AI Advertising,DataAlly,,Creative Strategy AI Tool,,dataally.ai,./images/dataally.ai.png
AI Advertising,ElevenLabs,,Generative AI Text toSpeech & Voice Cloning,,ElevenLabs.io,./images/ElevenLabs.io.png
AI Advertising,Day,,All-in-one meeting assistant.Build your personal brand.,,day.ai,./images/day.ai.png
AI Advertising,Lunio,,"Advertise to Humans, Not Bots",,lunio.ai,./images/lunio.ai.png
AI Advertising,PixelMe,,Advertising Platform for Amazon sellers,,pixelme.me,./images/pixelme.me.png
AI Advertising,Dreamwell,,Automate your influencer marketing. Only work with Profitable influencers.,,dreamwell.ai,./images/dreamwell.ai.png
AI Advertising,Hume,,Empathic AI to serve human well-being,,hume.ai,./images/hume.ai.png
AI Advertising,Persado,,Leading Generative AI Text Content Generation for Marketing,,persado.com,./images/persado.com.png
AI Advertising,Hootsuite,,Social Media Marketing and Management Tool,,hootsuite.com,./images/hootsuite.com.png
AI Advertising,DeepBrainAI,,We Influence consumer preferences using Data Driven algorithms,,deepbrainai.com,./images/deepbrainai.com.png
AI Advertising,Wavel AI,,Best Text-to-Speech Voice Solutions for Videos and Localization,,wavel.ai,./images/wavel.ai.png
AI Advertising,PromoMix,,Generate Voice Over For Your Short Video,,promomix.ai,./images/promomix.ai.png
AI Advertising,Wisecut,,AI Video Editor,,wisecut.ai,./images/wisecut.ai.png
AI Advertising,Murf AI,,Versatile Text to Speech Software,,murf.ai,./images/murf.ai.png
AI Advertising,Sanuker,,Business Messaging and AI Chatbot Solution for Your Business,,sanuker.com,./images/sanuker.com.png
AI Advertising,VoiceBase,,AI-Powered Voice Analytics,,voicebase.com,./images/voicebase.com.png
AI Advertising,Salesbox AI,,Accelerate Pipeline and Revenue growth using our intent-based Conversational ABM platform and programs,,salesbox.ai,./images/salesbox.ai.png
AI Advertising,Revotas,,Customer Experience Platform,,revotas.com,./images/revotas.com.png
AI Sales Extension,Clay,,Scrape data from any webpage directly into Clay,1,clay.com,./images/clay.com.png
AI Sales Extension,Humanlinker,,Get Contact & Company Info on LinkedIn,2,humanlinker.com,./images/humanlinker.com.png
AI Sales Extension,FullEnrich,,B2B Email & Phone Waterfall Enrichment,3,fullenrich.com,./images/fullenrich.com.png
AI Sales Extension,Mighty,,Personalized Cold Emails Simplified,,0,./images/0.png
AI Sales Extension,Bardeen,,Automate manual tasks,,bardeen.ai,./images/bardeen.ai.png
AI Sales Extension,Instant Data Scraper,,Automated data extraction tool for any website,,0,./images/0.png
AI Sales Extension,Extrovert,,Social relationships with leads at scale,,goextrovert.com,./images/goextrovert.com.png
AI Sales Extension,Lead Clipper,,Capture leads from any webpage in just one click!,,0,./images/0.png
AI Sales Extension,Vidu,,Personalized videos that show your product's value,,vidu.io,./images/vidu.io.png
AI Sales Extension,AroundDeal,,"Global B2B Database, Sales & Marketing Intelligence Platform",,arounddeal.com,./images/arounddeal.com.png
AI Sales Extension,Zymplify,,Sales & Marketing AI Platform,,zymplify.com,./images/zymplify.com.png
AI Sales Extension,6Sense,,The Only ABM Platform Powered by Revenue AI,,6sense.com,./images/6sense.com.png
AI Sales Extension,DealCoach,,Level up with our AI-powered Deal Copilot,,dealcoach.io,./images/dealcoach.io.png
AI Sales Extension,BuzzBoard,,AI Digital Sales Assistant,,buzzboard.ai,./images/buzzboard.ai.png
AI Sales Extension,Lavender,,Your Magical AI Email Coach,,lavender.ai,./images/lavender.ai.png
AI Sales Extension,Leadzen,,The Most Inteligent Lead Generation Tool,,leadzen.ai,./images/leadzen.ai.png
AI Voice Note Prospecting,lemlist,,The only cold outreach tool that helps you reach inboxes and get replies,1,lemlist.com,./images/lemlist.com.png
AI Voice Note Prospecting,ElevenLabs,,Text to Speech & AI Voice Generator,2,ElevenLabs.io,./images/ElevenLabs.io.png
AI Voice Note Prospecting,LaGrowthMachine,,The Best Multichannel Sales Automation Tool,3,lagrowthmachine.com,./images/lagrowthmachine.com.png
AI Voice Note Prospecting,Puretalk,,"We Are The ""Voice Of AI""",,puretalk.ai,./images/puretalk.ai.png
AI Voice Note Prospecting,Prosp,,All-In-One Sales Tool,,prosp.ai,./images/prosp.ai.png
AI Voice Note Prospecting,Nurture.ai,,Lead Nurturing Experts,,nurture.ai,./images/nurture.ai.png
AI Personality Analysis,Humanlinker,,Hyper-personalizationat scale,1,humanlinker.com,./images/humanlinker.com.png
AI Personality Analysis,Humantic,,Buyer Intelligence Poweredby Personality AI,,humantic.ai,./images/humantic.ai.png
AI Personality Analysis,Crystal,,The Personality Data Platform- DISC Personality Profilesfor Any Buyer,,crystalknows.com,./images/crystalknows.com.png
AI Personality Analysis,Hyperbound,,Adapt automated salesemails with AI,,hyperbound.ai,./images/hyperbound.ai.png
AI Personality Analysis,xiQ,,Personality-driven Sales and Marketing Platform,,xiqinc.com,./images/xiqinc.com.png
AI Personality Analysis,Dealintent,,AI powered digital sales room,,dealintent.com,./images/dealintent.com.png
AI Personality Analysis,AI Bees,,B2B Marketing Powered by AI,,ai-bees.io,./images/ai-bees.io.png
AI Competitive Intelligence,Revotas,,Customer Experience Platform,,revotas.com,./images/revotas.com.png
AI Competitive Intelligence,Crayon,,Competitive Intelligence Software,,crayon.co,./images/crayon.co.png
AI Competitive Intelligence,Botminds,,Capture and Automate Document & Web data,,botminds.ai,./images/botminds.ai.png
AI Competitive Intelligence,Leadzen,,The Most Inteligent Lead Generation Tool,,leadzen.ai,./images/leadzen.ai.png
AI Competitive Intelligence,Air Traffic Control,,B2B Content Personalization that Drives Pipeline,,airtrafficcontrol.io,./images/airtrafficcontrol.io.png
AI Competitive Intelligence,Validated AI,,Learn what your customers want,,getvalidated.ai,./images/getvalidated.ai.png
AI Competitive Intelligence,Symson,,Hyperlearn with Dynamic Pricing - Optimise your margin,,symson.com,./images/symson.com.png
AI Competitive Intelligence,Competera,,Pricing Platform for Online and Omnichannel Retailers,,competera.ai,./images/competera.ai.png
AI Competitive Intelligence,Digimind,,Social Listening & Market Intelligence Platform,,digimind.com,./images/digimind.com.png
AI Competitive Intelligence,Avoma,,AI Meeting Assistant with Conversation Intelligence,,avoma.com,./images/avoma.com.png
AI Competitive Intelligence,TruVoice,,TruVoice from Corporate Visions,,primary-intel.com,./images/primary-intel.com.png
AI Competitive Intelligence,Particular Audience,,Pricing Intelligence,,particularaudience.com,./images/particularaudience.com.png
AI Competitive Intelligence,Presales.ai,,Close deals up to 3x faster,,Presales.ai,./images/Presales.ai.png
AI Sales Funnel,Leadbright,,AI Revenue Growth Platform,,leadbright.com,./images/leadbright.com.png
AI Sales Funnel,Sypher,,AI Lead Scoring: Boost your conversion rate with Sypher,,sypher.ai,./images/sypher.ai.png
AI Sales Funnel,CaliberMind,,B2B Marketing Insights,,calibermind.com,./images/calibermind.com.png
AI Sales Funnel,ActiveIQ,,ABM Software to drive revenue,,activeiq.co,./images/activeiq.co.png
AI Sales Funnel,Penny,,the AI-powered platform transforming social selling,,getpenny.com,./images/getpenny.com.png
AI Sales Funnel,DealCoach,,Level up with our AI-powered Deal Copilot,,dealcoach.io,./images/dealcoach.io.png
AI Sales Funnel,Conversica,,AI-Powered Conversations to Unlock Revenue,,conversica.com,./images/conversica.com.png
AI Sales Funnel,Alore.io,,Your Outbound Sales Tech Stack,,alore.io,./images/alore.io.png
AI Sales Funnel,Salesbox AI,,Accelerate Pipeline and Revenue growth using our intent-based Conversational ABM platform and programs,,salesbox.ai,./images/salesbox.ai.png
AI Sales Funnel,Factors,,"Account Intelligence, Analytics & Attribution",,factors.ai,./images/factors.ai.png
AI Sales Funnel,Kenyt,,Conversational AI to Accelerate Marketing & Sales Funnel,,kenyt.ai,./images/kenyt.ai.png
AI Sales Funnel,Twik,,eCommerce Personalization & Web Analytics Products,,twik.io,./images/twik.io.png
AI Sales Funnel,RevSure,,Full Funnel Attribution for High Growth Marketing Teams,,revsure.ai,./images/revsure.ai.png
AI CRM,HubSpot,,"Software, Tools, Resources for Your Business",1,hubspot.com,./images/hubspot.com.png
AI CRM,Folk,,the All-in-one CRM,2,folk.app,./images/folk.app.png
AI CRM,Instantly,,Cold Email Software,3,instantly.ai,./images/instantly.ai.png
AI CRM,Kenyt,,Conversational AI to Accelerate Marketing & Sales Funnel,,kenyt.ai,./images/kenyt.ai.png
AI CRM,Kizen,,The Leader in ProGen AI,,kizen.com,./images/kizen.com.png
AI CRM,ImpacTech,,An AI-driven Company | Intelligent Business Relationships,,impactechs.com,./images/impactechs.com.png
AI CRM,ClickUp,,One app to replace them all,,clickup.com,./images/clickup.com.png
AI CRM,Monday,,Your go-to work platform,,monday.com,./images/monday.com.png
AI CRM,NetSuite,,NetSuite Customer Relationship Management,,netsuite.com,./images/netsuite.com.png
AI CRM,Capsule,,CRM Made Simple,,capsulecrm.com,./images/capsulecrm.com.png
AI CRM,Daily AI,,Intelligent Solutions for the Future of Lending,,dailyai.io,./images/dailyai.io.png
AI CRM,Zoho,,Cloud Software Suite for Businesses,,zoho.com,./images/zoho.com.png
AI CRM,Bitrix24,,"Free online workspace for your business: CRM, tasks, online meetings, and more",,bitrix24.in,./images/bitrix24.in.png
AI CRM,Asana,,"Manage your team's work, projects, & tasks online",,asana.com,./images/asana.com.png
AI CRM,Odoo,,Open Source ERP and CRM,,odoo.com,./images/odoo.com.png
AI CRM,Freshworks,,Streamlined Solutions,,freshworks.com,./images/freshworks.com.png
AI CRM,Postaga,,AI-Powered Sales Outreach and Link Building Platform,,postaga.com,./images/postaga.com.png
AI CRM,Hyly,,Journey AI 20+ Experiences. Integrated. Unified. Simplified.,,hyly.ai,./images/hyly.ai.png
AI CRM,Cliengo,,"We optimize your investment, improve your ROAS with AI",,cliengo.com,./images/cliengo.com.png
AI All-in-One Prospecting,lemlist,,The only cold outreach tool that helps you reach inboxes and get replies,1,lemlist.com,./images/lemlist.com.png
AI All-in-One Prospecting,Instantly,,Sales Engagement & Lead Intelligence,2,instantly.ai,./images/instantly.ai.png
AI All-in-One Prospecting,Unify,,Generate more pipeline with warm outbound,3,unifygtm.com,./images/unifygtm.com.png
AI All-in-One Prospecting,Expandi,,#1 LinkedIn Automation Tool,,expandi.io,./images/expandi.io.png
